file,value_concept,geo,time
ddf--weo--subject.csv,weo_subject_descriptor,,
ddf-weo--NGDP_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_R--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXWDG--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--LP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--TM_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGX--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--TX_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--BCA--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPI--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGSD_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGAP_NPGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPIEPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPSH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXWDN--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGR--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXONLB_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPIPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--BCA_NGDPD--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_D--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--LUR--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDPDPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_FY--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDPPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPEX--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGSB_NPGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--FLIBOR6--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDPRPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NID_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXCNL--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGSB--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGX_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--LE--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--TMG_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPIE--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDPD--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXWDN_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--TXG_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXWDG_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXCNL_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGR_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXONLB--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_RPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDP_R--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXWDG--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--LP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--TM_RPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGX--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--TX_RPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--BCA--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PCPI--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGSD_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGAP_NPGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PCPIEPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PPPSH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXWDN--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGR--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXONLB_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PCPIPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--BCA_NGDPD--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDP_D--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--LUR--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDPDPC--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDP_FY--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDPPC--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PPPPC--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PPPEX--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGSB_NPGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--FLIBOR6--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PPPGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDPRPC--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NID_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXCNL--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGSB--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGX_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--LE--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--TMG_RPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--PCPIE--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDPD--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXWDN_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--TXG_RPCH--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXWDG_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXCNL_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGR_NGDP--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--GGXONLB--country--estimates--start--after.csv,weo_subject_descriptor_country_estimates_start_after,country,
ddf-weo--NGDP_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDP_R--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXWDG--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--LP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--TM_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGX--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--TX_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--BCA--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PCPI--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGSD_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGAP_NPGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PCPIEPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PPPSH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXWDN--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGR--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXONLB_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PCPIPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--BCA_NGDPD--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDP_D--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--LUR--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDPDPC--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDP_FY--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDPPC--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PPPPC--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PPPEX--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGSB_NPGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--FLIBOR6--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PPPGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDPRPC--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NID_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXCNL--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGSB--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGX_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--LE--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--TMG_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--PCPIE--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--NGDPD--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXWDN_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--TXG_RPCH--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXWDG_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXCNL_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGR_NGDP--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
ddf-weo--GGXONLB--country--year--weo--subject--descriptor.csv,weo_subject_descriptor_country_year,country,year
